iter	MultiClass
0	1.036711803
1	0.9858083761
2	0.9459507543
3	0.9130572312
4	0.8841128331
5	0.8607224755
6	0.8406883406
7	0.8241793164
8	0.8079844097
9	0.7927724324
10	0.7800541396
11	0.7687494089
12	0.759354004
13	0.7508038894
14	0.7435357019
15	0.7372314067
16	0.7316953942
17	0.7272750295
18	0.7224251005
19	0.7183377399
20	0.7148444923
21	0.7119661406
22	0.7092692056
23	0.7071954554
24	0.7052808911
25	0.703327781
26	0.7011798248
27	0.6993335216
28	0.6976488951
29	0.6960168059
30	0.6947245779
31	0.6930163112
32	0.6917213125
33	0.6905267627
34	0.6894199005
35	0.6884437112
36	0.6875314809
37	0.6868107178
38	0.6861544393
39	0.6852028663
40	0.6845663326
41	0.6831297209
42	0.6826915295
43	0.682031737
44	0.6811597553
45	0.6797145369
46	0.6789180314
47	0.6779186593
48	0.6771657196
49	0.6756279617
50	0.6752369112
51	0.674690837
52	0.6740427014
53	0.6735272981
54	0.6728490676
55	0.6724345541
56	0.6717727057
57	0.6706382078
58	0.6703570096
59	0.6696836411
60	0.6692285473
61	0.6688163013
62	0.6685062894
63	0.6679699866
64	0.6673224853
65	0.667035483
66	0.6667011114
67	0.6663561191
68	0.6660555523
69	0.6656460654
70	0.6652528932
71	0.664953876
72	0.6643851755
73	0.6639944904
74	0.6637638431
75	0.6632493738
76	0.6626682989
77	0.6623986253
78	0.6619880296
79	0.661768083
80	0.6614409058
81	0.6609128321
82	0.660565235
83	0.6602135211
84	0.659705494
85	0.6592945697
86	0.6591370095
87	0.6589171705
88	0.6586689208
89	0.6584579757
90	0.6579881981
91	0.6577522132
92	0.657451125
93	0.6573256658
94	0.6571192004
95	0.6564098543
96	0.6562173208
97	0.6558765638
98	0.6556606151
99	0.6553793668
100	0.6550833805
101	0.6547497995
102	0.6546353402
103	0.6544262469
104	0.654212206
105	0.6536576059
106	0.6534106653
107	0.6530357029
108	0.6526051034
109	0.6523350578
110	0.6520297729
111	0.6515749747
112	0.6513585905
113	0.6507714688
114	0.6504784868
115	0.6502548619
116	0.6499262996
117	0.6495190905
118	0.6492737773
119	0.6491038449
120	0.6487517086
121	0.6484755828
122	0.648211615
123	0.6480186052
124	0.647806096
125	0.6473500814
126	0.6471714636
127	0.646978212
128	0.6466097691
129	0.646410289
130	0.6458305596
131	0.6456457487
132	0.6453482652
133	0.6450258348
134	0.6446605105
135	0.6442594359
136	0.6439910745
137	0.643645179
138	0.6434650288
139	0.6431041686
140	0.6428567855
141	0.6425669698
142	0.6424419323
143	0.642099234
144	0.6418010951
145	0.6414714634
146	0.6409778738
147	0.6407720904
148	0.6405614981
149	0.6402958426
150	0.6398955485
151	0.6395744482
152	0.6393987755
153	0.6391293596
154	0.6389511106
155	0.6386534864
156	0.6382387301
157	0.6380385344
158	0.6378158869
159	0.6375596139
160	0.6373564718
161	0.6371456168
162	0.6368172309
163	0.6366658539
164	0.6363838013
165	0.6361692713
166	0.6359915383
167	0.6357970214
168	0.6355840806
169	0.6352188396
170	0.6349816978
171	0.6347494265
172	0.6345192254
173	0.6343336817
174	0.6341378751
175	0.6338844473
176	0.6337317299
177	0.6335716576
178	0.6332868406
179	0.6328257823
180	0.6326025256
181	0.6323463043
182	0.6322188673
183	0.6319141852
184	0.6316947894
185	0.6313857606
186	0.6310819939
187	0.6308773471
188	0.6305884992
189	0.630436671
190	0.6301322094
191	0.629824923
192	0.6295921093
193	0.6293513022
194	0.6291722886
195	0.6289151653
196	0.6285487967
197	0.6280240703
198	0.6276838753
199	0.6274730237
200	0.6273533717
201	0.6271142583
202	0.6269335874
203	0.6267594783
204	0.6266053437
205	0.6264609271
206	0.6262746517
207	0.6256024144
208	0.6254813081
209	0.6253496652
210	0.6249955717
211	0.6248553676
212	0.6246785606
213	0.6243993975
214	0.6241412163
215	0.6240004142
216	0.6237521309
217	0.6233347774
218	0.6230685175
219	0.6229203764
220	0.6227005923
221	0.6225505357
222	0.6223799194
223	0.6222445197
224	0.6219984812
225	0.6216120811
226	0.6214010016
227	0.6212282472
228	0.6210619311
229	0.6208189479
230	0.6206587225
231	0.6204603801
232	0.6203163975
233	0.6201612593
234	0.6198143658
235	0.6195927524
236	0.6193335083
237	0.619089662
238	0.6189092489
239	0.6187286369
240	0.6183996694
241	0.6182154878
242	0.6179908823
243	0.6178568536
244	0.6176940229
245	0.6175260574
246	0.6173103198
247	0.6170202315
248	0.6167600304
249	0.6164588389
250	0.616298213
251	0.6159737127
252	0.6156992294
253	0.6153920854
254	0.6152149968
255	0.615012029
256	0.6148142904
257	0.6146945011
258	0.6144638005
259	0.6143079519
260	0.6140592015
261	0.6138673554
262	0.6136603998
263	0.6135858208
264	0.6133629222
265	0.613184362
266	0.6129993087
267	0.612835236
268	0.612709279
269	0.6124707974
270	0.6123518883
271	0.6121420712
272	0.6119678979
273	0.6117380933
274	0.6116136374
275	0.611316511
276	0.6110244567
277	0.6109405408
278	0.6108181656
279	0.6106641871
280	0.6104259478
281	0.6102430374
282	0.6101024358
283	0.6099093994
284	0.6098535934
285	0.6096660847
286	0.6094802417
287	0.6091675632
288	0.6089822643
289	0.6089018781
290	0.6086938139
291	0.6084665035
292	0.6083429092
293	0.6081847129
294	0.6081088269
295	0.6079665343
296	0.6077493705
297	0.6074142204
298	0.6072976845
299	0.607073695
