iter	Passed	Remaining
0	12	3736
1	22	3417
2	31	3152
3	42	3144
4	51	3058
5	59	2937
6	69	2897
7	78	2873
8	89	2880
9	101	2950
10	111	2920
11	120	2899
12	129	2868
13	140	2870
14	152	2894
15	161	2866
16	169	2825
17	178	2797
18	187	2774
19	196	2747
20	205	2727
21	213	2695
22	222	2680
23	231	2664
24	244	2684
25	257	2716
26	271	2745
27	282	2742
28	292	2729
29	303	2732
30	312	2713
31	323	2709
32	336	2726
33	349	2732
34	359	2719
35	374	2743
36	384	2731
37	395	2724
38	406	2717
39	416	2708
40	426	2692
41	437	2686
42	447	2675
43	461	2685
44	471	2671
45	482	2661
46	492	2653
47	501	2632
48	511	2618
49	519	2597
50	528	2582
51	537	2562
52	547	2549
53	555	2530
54	564	2515
55	572	2495
56	582	2483
57	593	2476
58	603	2464
59	612	2451
60	621	2434
61	629	2417
62	642	2416
63	651	2402
64	661	2390
65	671	2382
66	682	2373
67	693	2366
68	702	2351
69	712	2340
70	721	2327
71	731	2317
72	743	2310
73	756	2309
74	763	2291
75	774	2283
76	789	2286
77	800	2277
78	810	2267
79	818	2252
80	829	2244
81	840	2233
82	850	2224
83	860	2212
84	868	2197
85	877	2183
86	886	2169
87	895	2156
88	903	2140
89	911	2127
90	920	2114
91	931	2105
92	940	2093
93	947	2076
94	957	2066
95	965	2052
96	974	2038
97	982	2025
98	991	2012
99	999	1998
100	1008	1986
101	1017	1974
102	1025	1961
103	1034	1949
104	1043	1938
105	1054	1930
106	1063	1919
107	1072	1906
108	1084	1899
109	1095	1892
110	1106	1883
111	1116	1874
112	1125	1862
113	1135	1852
114	1145	1842
115	1155	1832
116	1165	1822
117	1174	1811
118	1184	1801
119	1193	1790
120	1202	1778
121	1210	1766
122	1220	1756
123	1230	1746
124	1240	1736
125	1249	1726
126	1258	1714
127	1267	1703
128	1278	1694
129	1288	1684
130	1297	1673
131	1305	1661
132	1314	1650
133	1325	1641
134	1333	1630
135	1342	1619
136	1352	1609
137	1361	1598
138	1369	1586
139	1378	1575
140	1387	1564
141	1397	1555
142	1407	1544
143	1416	1534
144	1426	1525
145	1439	1518
146	1450	1509
147	1460	1499
148	1469	1489
149	1479	1479
150	1495	1475
151	1505	1465
152	1515	1455
153	1526	1447
154	1536	1437
155	1547	1428
156	1560	1421
157	1573	1414
158	1592	1412
159	1603	1402
160	1613	1392
161	1622	1381
162	1632	1372
163	1644	1363
164	1654	1353
165	1667	1346
166	1676	1335
167	1687	1325
168	1699	1317
169	1709	1307
170	1720	1298
171	1731	1288
172	1743	1279
173	1754	1270
174	1764	1260
175	1774	1250
176	1784	1240
177	1793	1229
178	1805	1220
179	1816	1210
180	1824	1199
181	1833	1188
182	1843	1178
183	1853	1168
184	1863	1158
185	1873	1148
186	1881	1137
187	1890	1126
188	1899	1115
189	1908	1104
190	1917	1094
191	1925	1082
192	1933	1071
193	1943	1061
194	1951	1050
195	1959	1039
196	1968	1029
197	1977	1018
198	1986	1008
199	1995	997
200	2002	986
201	2012	976
202	2020	965
203	2031	955
204	2039	945
205	2049	935
206	2057	924
207	2068	915
208	2077	904
209	2085	893
210	2094	883
211	2102	872
212	2110	862
213	2119	851
214	2127	841
215	2135	830
216	2145	820
217	2154	810
218	2163	800
219	2171	789
220	2179	779
221	2188	768
222	2196	758
223	2204	748
224	2213	737
225	2223	727
226	2232	718
227	2243	708
228	2253	698
229	2264	689
230	2276	679
231	2287	670
232	2297	660
233	2307	650
234	2317	640
235	2326	630
236	2338	621
237	2348	611
238	2357	601
239	2366	591
240	2374	581
241	2384	571
242	2392	561
243	2402	551
244	2410	541
245	2419	531
246	2429	521
247	2438	511
248	2447	501
249	2456	491
250	2464	481
251	2473	471
252	2483	461
253	2492	451
254	2501	441
255	2511	431
256	2519	421
257	2527	411
258	2541	402
259	2554	392
260	2563	383
261	2572	373
262	2580	363
263	2589	353
264	2598	343
265	2607	333
266	2616	323
267	2626	313
268	2636	303
269	2646	294
270	2657	284
271	2670	274
272	2684	265
273	2704	256
274	2716	246
275	2730	237
276	2744	227
277	2755	218
278	2765	208
279	2776	198
280	2787	188
281	2802	178
282	2815	169
283	2832	159
284	2842	149
285	2852	139
286	2862	129
287	2872	119
288	2881	109
289	2890	99
290	2898	89
291	2906	79
292	2914	69
293	2923	59
294	2932	49
295	2942	39
296	2951	29
297	2960	19
298	2968	9
299	2977	0
